campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP016,13686317849,375883156,393677129.8600,20410131,0.027464,19.2883
CMP049,13678441909,375790166,393822976.9000,20408613,0.027473,19.2969
CMP032,13707961325,376277379,395003523.0400,20469062,0.027450,19.2976
CMP034,13663387190,375490759,394029600.3200,20403716,0.027482,19.3117
CMP040,13707493063,376364561,395064372.6600,20444877,0.027457,19.3234
CMP004,13705584584,376906722,395992597.4000,20491770,0.027500,19.3245
CMP047,13704337167,376533784,395185526.7700,20447393,0.027476,19.3269
CMP045,13689842314,376256850,394756303.7300,20424317,0.027484,19.3278
CMP022,13703365735,377109904,395899684.6400,20480486,0.027520,19.3306
CMP024,13665607452,375614418,394482754.5600,20406008,0.027486,19.3317
